t_s,x_w,y_w,z_w,qx,qy,qz,qw
2.946480544,-0.00084594,0.000893012,1.777021402,-0.015722051,0.041501606,0.005638056,0.998998822
2.963147211,-0.000875227,0.00134435,1.782315868,-0.033898037,0.017613648,0.008052747,0.999237627
2.979813878,-0.000884393,0.001379026,1.783675165,-0.059227486,0.006152296,0.008807024,0.998186701
2.996480544,-0.000871556,0.001012423,1.783936195,-0.076666683,0.003368134,0.007759502,0.997020895
3.013147211,-0.000839355,0.000257336,1.784046857,-0.088699548,0.002874815,0.004998509,0.996041736
3.029813878,-0.000801547,-0.000674757,1.783869533,-0.097322993,0.002888833,0.001377016,0.995247705
3.046480544,-0.00076632,-0.001696815,1.783637333,-0.102699963,0.001348855,-0.002553693,0.994708187
3.063147211,-0.000731069,-0.003336,1.783714408,-0.101875795,0.002231583,-0.009036329,0.994753581
3.079813878,-0.000719262,-0.00461085,1.783372856,-0.098777351,0.002947923,-0.0140976,0.995005328
3.096480544,-0.000719732,-0.005709514,1.783328623,-0.091646417,0.003730819,-0.018607158,0.995610762
3.113147211,-0.000727911,-0.006559607,1.783297452,-0.079851002,0.003966649,-0.022208598,0.996551485
3.129813878,-0.00073467,-0.0070229,1.783331132,-0.063193019,0.005584075,-0.024247952,0.997691083
3.146480544,-0.000737024,-0.007093783,1.783152079,-0.039807962,0.010712946,-0.024713771,0.998844226
3.163147211,-0.000733809,-0.006733035,1.779826446,-0.016823571,0.029039727,-0.023436546,0.999161844
3.179813878,-0.000726005,-0.005975822,1.773517095,-0.006540736,0.05282468,-0.02043756,0.998373216
3.196480544,-0.000719308,-0.004930633,1.767949559,-0.006147488,0.066153967,-0.01629396,0.99765744
3.213147211,-0.000727423,-0.003713078,1.765029658,-0.007312335,0.072617348,-0.01132483,0.99726877
3.229813878,-0.000750383,-0.002438737,1.764975613,-0.006605058,0.072871345,-0.005734914,0.997302989
3.246480544,-0.000784862,-0.001276312,1.767599144,-0.007561326,0.067310123,-0.000581741,0.99770328
3.263147211,-0.000831073,-0.00030773,1.773330464,-0.011123093,0.053331433,0.003667971,0.998508178
3.279813878,-0.000873013,0.000387342,1.780230774,-0.019985419,0.027811496,0.00702307,0.999388703
3.296480544,-0.000893832,0.000666871,1.783528856,-0.043087568,0.00862345,0.008624124,0.998996858
3.313147211,-0.000894832,0.000510846,1.783673055,-0.067986193,0.00624177,0.008416664,0.997631233
3.329813878,-0.000873957,-5.3127e-05,1.783774243,-0.083825219,0.006136787,0.00653035,0.996440177
3.346480544,-0.000835409,-0.000928797,1.784044123,-0.09327685,0.003597117,0.003324689,0.995628162
3.363147211,-0.000792094,-0.002071391,1.783944514,-0.09906973,0.001899996,-0.000957684,0.995078219
3.379813878,-0.000760655,-0.003188778,1.783655159,-0.102113608,0.002396111,-0.005424637,0.994755067
3.396480544,-0.000741297,-0.004073982,1.783718731,-0.102562407,0.00301476,-0.009011668,0.994681182
3.413147211,-0.000724054,-0.005357941,1.783845082,-0.098112118,0.002474356,-0.014262633,0.995070082
3.429813878,-0.000728892,-0.006715016,1.78347895,-0.086994567,0.004024503,-0.020003085,0.995999812
3.446480544,-0.00073791,-0.007439554,1.783439049,-0.071541737,0.004550578,-0.023534921,0.997149527
3.463147211,-0.000743169,-0.007681488,1.783114484,-0.050946711,0.008680666,-0.025031839,0.998349881
3.479813878,-0.000744396,-0.00747434,1.781009385,-0.024675624,0.023710983,-0.024755206,0.999107643
3.496480544,-0.000737271,-0.006828558,1.775255267,-0.008590289,0.046842324,-0.022684305,0.998607744
3.513147211,-0.000727469,-0.00583128,1.76842172,-0.006775625,0.064876591,-0.019055668,0.997688328
3.529813878,-0.000726555,-0.004548134,1.763812997,-0.005789378,0.074273447,-0.014305448,0.997118495
3.546480544,-0.000738236,-0.003109492,1.761678568,-0.006048416,0.078823571,-0.008938516,0.996830158
3.563147211,-0.000765882,-0.001712566,1.76281268,-0.005955349,0.077299267,-0.003389969,0.996984386
3.579813878,-0.000806885,-0.000449597,1.767549144,-0.005675268,0.067857985,0.001685855,0.997677424
3.596480544,-0.000849185,0.000568085,1.774192662,-0.008425203,0.050473979,0.005499818,0.998674694
3.613147211,-0.000878225,0.001238602,1.780305673,-0.021958537,0.0258678,0.008008703,0.999392085
3.629813878,-0.000887514,0.001485177,1.783301687,-0.048081708,0.008448849,0.008955031,0.998767527
3.646480544,-0.000873927,0.001297529,1.783624848,-0.070490138,0.005291679,0.00795921,0.997466686
3.663147211,-0.000839041,0.000713425,1.783551506,-0.085050058,0.00485446,0.005309561,0.996350706
3.679813878,-0.000796706,-0.00019807,1.78330884,-0.094945037,0.002222522,0.001553317,0.995478823
3.696480544,-0.00075426,-0.001358342,1.783297389,-0.100497575,-0.000207943,-0.003090687,0.994932481
3.713147211,-0.000721614,-0.00263558,1.783418116,-0.102043214,0.000979764,-0.00830705,0.994744799
3.729813878,-0.000708404,-0.003898752,1.783656705,-0.099155587,0.00215427,-0.013445185,0.994978772
3.746480544,-0.000707247,-0.005013541,1.783662288,-0.092493838,0.003029958,-0.018144054,0.99554332
3.763147211,-0.000713708,-0.005883932,1.783349302,-0.082903283,0.00451475,-0.021942386,0.996305774
3.779813878,-0.000723584,-0.006441153,1.7834538,-0.068209797,0.005453111,-0.024345302,0.997359009
3.796480544,-0.000728892,-0.006602694,1.783333136,-0.0466451,0.007947963,-0.025092554,0.998564684
3.813147211,-0.000725361,-0.006353798,1.781191234,-0.022102984,0.021935555,-0.024077993,0.99922497
3.829813878,-0.000719369,-0.005706213,1.775710154,-0.007416417,0.045389998,-0.021320798,0.998714258
3.846480544,-0.000715843,-0.004740615,1.769680458,-0.005307401,0.062514274,-0.017184137,0.997882008
3.863147211,-0.000720699,-0.003599497,1.76638774,-0.005143602,0.069795961,-0.012193352,0.997473503
3.879813878,-0.000743703,-0.002359401,1.76609427,-0.00621894,0.070141036,-0.006666025,0.997495426
3.896480544,-0.000783356,-0.001148179,1.769346303,-0.007697038,0.063488958,-0.001066812,0.997952288
3.913147211,-0.000827531,-0.000160496,1.774073449,-0.008232473,0.052324377,0.003490332,0.998590108
3.929813878,-0.000868356,0.000527417,1.779303781,-0.01592802,0.032384722,0.006692239,0.999326144
3.946480544,-0.000893132,0.000874448,1.783195633,-0.037494975,0.011441658,0.008521124,0.999194979
3.963147211,-0.00089515,0.00082142,1.78363751,-0.063425561,0.004972922,0.008728959,0.997936007
3.979813878,-0.000875768,0.000352792,1.783731874,-0.080632198,0.004325745,0.007138645,0.996708973
3.996480544,-0.000838158,-0.000478796,1.783827457,-0.091754777,0.004213523,0.003894256,0.995765104
4.013147211,-0.000793293,-0.001567071,1.783802423,-0.098643043,0.003828194,-0.000347246,0.995115458
4.029813878,-0.000754819,-0.00282139,1.783467577,-0.102283796,0.00267829,-0.005240823,0.994737848
4.046480544,-0.000730812,-0.004124572,1.783396229,-0.101557034,0.002443148,-0.010492824,0.994771381
4.063147211,-0.000721613,-0.005328441,1.783399331,-0.097170233,0.002508416,-0.015424154,0.995145089
4.079813878,-0.000725068,-0.006333144,1.783276885,-0.088537175,0.002892103,-0.019673565,0.995874367
4.096480544,-0.000734293,-0.00706733,1.783469768,-0.075051348,0.003588488,-0.02303879,0.996907033
4.113147211,-0.00074064,-0.007424095,1.783465092,-0.056545417,0.005511479,-0.024854334,0.998075399
4.129813878,-0.000742692,-0.007359524,1.782506143,-0.031618562,0.015595563,-0.02489438,0.999068223
