frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
206,3.445486869,-0.00063606,0.00027079,1.73496293,0.03527665,0.07248222,-0.00960009,0.99669942,0.306189
207,3.462140256,-0.00060656,0.00078345,1.73378811,-0.03705195,-0.07600724,-0.00939733,0.9963743,0.190968
208,3.478572993,-0.00061261,0.00134802,1.7339466,0.03489669,0.07617244,-0.0095382,0.99643816,0.317104
209,3.495451885,-0.00057954,0.0018967,1.73337592,-0.03963948,-0.07826785,-0.00938221,0.99609981,0.190102
210,3.511812692,-0.00056263,0.00246398,1.73359577,-0.03847496,-0.07773175,-0.00982576,0.99618317,0.221184
211,3.528777266,-0.00054523,0.00302514,1.73343476,-0.0410699,-0.07679751,-0.00979647,0.99615232,0.174659
212,3.545638805,-0.0005246,0.00356251,1.73265463,-0.04045276,-0.07655057,-0.00999351,0.99619462,0.152036
213,3.562442157,-0.00049772,0.00406139,1.7334428,-0.04412908,-0.07258583,-0.00960208,0.99633916,0.132316
214,3.578504974,-0.00047904,0.00452397,1.73452211,-0.04228005,-0.06918811,-0.00940118,0.99666294,0.043466
215,3.595336907,-0.00046324,0.00492835,1.73540463,-0.04115439,-0.06754004,-0.0094006,0.9968231,0.120668
216,3.612315722,-0.00044787,0.00526545,1.73582754,-0.04138573,-0.06811514,-0.00916802,0.99677655,0.210379
217,3.628382078,-0.00043976,0.0055231,1.73778392,-0.04561772,-0.06435789,-0.00915886,0.99684161,0.173486
218,3.64527844,-0.00043209,0.00570912,1.74089028,-0.03745377,-0.05853855,-0.00980698,0.9975341,0.211001
219,3.661990177,-0.00042717,0.00580601,1.7407714,-0.04523814,-0.05969347,-0.0092808,0.99714797,0.218784
220,3.678573326,-0.00042461,0.00581797,1.741968,-0.04650676,-0.05679341,-0.00923174,0.99725945,0.235576
221,3.695412249,-0.00042824,0.005748,1.744664,-0.04640557,-0.04896864,-0.00973344,0.99767422,0.250136
222,3.712050362,-0.00043267,0.00558487,1.74390652,-0.05543721,-0.05022541,-0.00911163,0.99715651,0.187768
223,3.728502901,-0.00044268,0.0053443,1.74469443,-0.05342484,-0.04806926,-0.00927611,0.99737109,0.266767
224,3.745431918,-0.00045806,0.00502081,1.74522734,-0.05925281,-0.04342424,-0.00945367,0.99725326,0.104988
225,3.762318248,-0.00047296,0.00463139,1.74525998,-0.06393959,-0.04201944,-0.00941786,0.99702427,0.138714
226,3.778533864,-0.00048883,0.00417948,1.74451899,-0.0683856,-0.04401609,-0.00941024,0.99664309,0.137273
227,3.795515219,-0.00050899,0.00368807,1.74469244,-0.069024,-0.04485902,-0.00958597,0.99655982,0.11244
228,3.812179639,-0.0005304,0.00315219,1.746303,-0.06996484,-0.04309853,-0.0097091,0.99657071,0.128889
229,3.828539538,-0.00055104,0.00259125,1.7470595,-0.06869031,-0.04444357,-0.00964297,0.99660094,0.028412
230,3.845267618,-0.00056678,0.00202362,1.7472264,-0.06812218,-0.04470841,-0.00948052,0.99662964,0.103507
231,3.862783436,-0.00058326,0.00145291,1.74736644,-0.06692334,-0.04491326,-0.00931166,0.99670325,0.129877
232,3.878856891,-0.00059672,0.00088586,1.74865674,-0.06472304,-0.04114871,-0.0094756,0.99700949,0.244987
