t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
4.322195,-0.851768,0.175217,-0.851177,0.174959
4.338862,-0.966454,-0.013262,-0.966382,-0.013401
4.355528,-1.043158,-0.194781,-1.043033,-0.194814
4.372195,-1.077784,-0.356994,-1.077250,-0.357124
4.388862,-1.062596,-0.491296,-1.062567,-0.490085
4.405528,-1.008545,-0.567015,-1.008607,-0.566003
4.422195,-0.921046,-0.588315,-0.920732,-0.587764
4.438862,-0.797822,-0.571638,-0.798425,-0.572408
4.455528,-0.659355,-0.551611,-0.659016,-0.552661
4.472195,-0.492342,-0.540429,-0.492479,-0.541108
4.488862,-0.309066,-0.532212,-0.308324,-0.531447
4.505528,-0.099411,-0.497060,-0.099469,-0.497891
4.522195,0.113558,-0.458960,0.114273,-0.456937
4.538862,0.331995,-0.365822,0.331209,-0.366413
4.555528,0.516727,-0.267814,0.516424,-0.267355
4.572195,0.665769,-0.153600,0.665788,-0.153551
4.588862,0.777103,-0.040150,0.776762,-0.040087
4.605528,0.839870,0.063459,0.839010,0.062107
4.622195,0.844386,0.126052,0.844237,0.125516
4.638862,0.807379,0.161759,0.807356,0.162433
4.655528,0.738217,0.195682,0.738428,0.195477
4.672195,0.648528,0.215726,0.648969,0.216563
4.688862,0.548396,0.241296,0.548107,0.241225
4.705528,0.430135,0.254403,0.429406,0.254017
4.722195,0.292202,0.247209,0.292866,0.246883
4.738862,0.166841,0.219990,0.166951,0.220241
4.755528,0.051431,0.185244,0.051104,0.183853
4.772195,-0.055395,0.120462,-0.055155,0.120034
4.788862,-0.138667,0.052575,-0.137522,0.055522
4.805528,-0.180313,0.049157,-0.180614,0.048592
4.822195,-0.207711,0.048017,-0.207886,0.048247
4.838862,-0.221917,0.057821,-0.221977,0.057614
4.855528,-0.223754,0.063704,-0.223694,0.063590
4.872195,-0.212988,0.062424,-0.213116,0.061263
4.888862,-0.194224,0.034614,-0.194418,0.034328
4.905528,-0.169379,0.000186,-0.169003,0.000722
4.922195,-0.129472,-0.020333,-0.129050,-0.019016
4.938862,-0.076532,-0.010094,-0.076745,-0.010760
4.955528,-0.026321,-0.005767,-0.026516,-0.005745
4.972195,0.016927,0.001342,0.016828,0.001881
